c02244_NODE_22...region001,ERR2239683_contigs.region001
c00180_NODE_18...region001,ERR2239715_contigs.region002
c00318_NODE_31...region001,ERR2239700_contigs.region004
c00465_NODE_46...region001,ERR3941113_contigs.region005
c02089_NODE_20...region001,ERR3941113_contigs.region006
c02684_NODE_26...region001,ERR3941113_contigs.region007
c03090_NODE_30...region001,ERR3941356_contigs.region007
c04324_NODE_43...region001,ERR2239597_contigs.region010
c00049_NODE_49...region001,ERR2239678_contigs.region001
c00074_NODE_74...region001,ERR2239539_contigs.region001
c00313_NODE_31...region001,ERR3941295_contigs.region003
c00982_NODE_98...region001,ERR2239236_contigs.region006
c01057_NODE_10...region001,ERR3946800_contigs.region008
c02535_NODE_25...region001,ERR3941185_contigs.region005
c02990_NODE_29...region001,ERR3941114_contigs.region008
c00019_NODE_19...region001,ERR2239738_contigs.region003
c00709_NODE_70...region001,ERR2239633_contigs.region002
c00726_NODE_72...region001,ERR3941115_contigs.region005
c04596_NODE_45...region001,ERR3941115_contigs.region007
c00033_NODE_33...region001,ERR2239628_contigs.region002
c00125_NODE_12...region001,ERR2239791_contigs.region003
c00333_NODE_33...region001,ERR2239470_contigs.region015
c00371_NODE_37...region001,ERR3941117_contigs.region005
c00573_NODE_57...region001,ERR3941117_contigs.region006
c00650_NODE_65...region001,ERR3941117_contigs.region007
c01154_NODE_11...region001,ERR2239552_contigs.region001
c01248_NODE_12...region001,ERR2239663_contigs.region006
c01368_NODE_13...region001,ERR3941389_contigs.region008
c01470_NODE_14...region001,ERR3946877_contigs.region008
c01691_NODE_16...region001,ERR2239478_contigs.region021
c00528_NODE_52...region001,ERR2239627_contigs.region001
c00537_NODE_53...region001,ERR2239274_contigs.region006
c00651_NODE_65...region001,ERR3941118_contigs.region003
c01997_NODE_19...region001,ERR3941118_contigs.region004
c06130_NODE_61...region001,ERR3941118_contigs.region005
c01143_NODE_11...region001,ERR2239725_contigs.region001
c01191_NODE_11...region001,ERR2239790_contigs.region004
c01611_NODE_16...region001,ERR3946741_contigs.region011
c02858_NODE_28...region001,ERR3941119_contigs.region006
c03605_NODE_36...region001,ERR3941120_contigs.region003
c05398_NODE_53...region001,ERR3941205_contigs.region005
c00952_NODE_95...region001,ERR2239571_contigs.region002
c04106_NODE_41...region001,ERR3941121_contigs.region004
c00561_NODE_56...region001,ERR2239660_contigs.region001
c00676_NODE_67...region001,ERR3941300_contigs.region004
c01047_NODE_10...region001,ERR2239629_contigs.region005
c01427_NODE_14...region001,ERR2239196_contigs.region005
c01600_NODE_16...region001,ERR2239552_contigs.region003
c01631_NODE_16...region001,ERR3941122_contigs.region007
c01842_NODE_18...region001,ERR3941373_contigs.region008
c02606_NODE_26...region001,ERR2239240_contigs.region013
c05901_NODE_59...region001,ERR3941122_contigs.region010
c08664_NODE_86...region001,ERR3941122_contigs.region011
c00156_NODE_15...region001,ERR2239779_contigs.region003
c00208_NODE_20...region001,ERR2239578_contigs.region004
c00250_NODE_25...region001,ERR2239213_contigs.region002
c01866_NODE_18...region001,ERR3941123_contigs.region004
c00280_NODE_28...region001,ERR3958123_contigs.region001
c01171_NODE_11...region001,ERR2239733_contigs.region005
c00158_NODE_15...region001,ERR2239695_contigs.region004
c00239_NODE_23...region001,ERR2239646_contigs.region002
c00365_NODE_36...region001,ERR2239680_contigs.region004
c00621_NODE_62...region001,ERR2239216_contigs.region012
c03119_NODE_31...region001,ERR3941125_contigs.region006
c03134_NODE_31...region001,ERR3941205_contigs.region004
c03722_NODE_37...region001,ERR3941125_contigs.region008
c00447_NODE_44...region001,ERR2239652_contigs.region005
c04830_NODE_48...region001,ERR3941126_contigs.region005
c05560_NODE_55...region001,ERR3941126_contigs.region006
c00329_NODE_32...region001,ERR2239664_contigs.region004
c00393_NODE_39...region001,ERR3941359_contigs.region001
c00435_NODE_43...region001,ERR3941127_contigs.region004
c00495_NODE_49...region001,ERR2239441_contigs.region003
c01259_NODE_12...region001,ERR3941197_contigs.region004
c02633_NODE_26...region001,ERR3941127_contigs.region008
c03361_NODE_33...region001,ERR3941127_contigs.region009
c03506_NODE_35...region001,ERR2239534_contigs.region004
c00186_NODE_18...region001,ERR2239719_contigs.region002
c04648_NODE_46...region001,ERR3941197_contigs.region006
c00150_NODE_15...region001,ERR3958101_contigs.region001
c00171_NODE_17...region001,ERR3941347_contigs.region005
c00665_NODE_66...region001,ERR2239667_contigs.region005
c00703_NODE_70...region001,ERR3941129_contigs.region004
c00974_NODE_97...region001,ERR2239538_contigs.region012
c01888_NODE_18...region001,ERR3941381_contigs.region005
c00316_NODE_31...region001,ERR3958149_contigs.region001
c00541_NODE_54...region001,ERR3941160_contigs.region002
c00896_NODE_89...region001,ERR2239570_contigs.region004
c01366_NODE_13...region001,ERR2239599_contigs.region003
c01709_NODE_17...region001,ERR2239260_contigs.region008
c00702_NODE_70...region001,ERR2239604_contigs.region004
c01351_NODE_13...region001,ERR2239530_contigs.region006
c02306_NODE_23...region001,ERR3941131_contigs.region004
c00242_NODE_24...region001,ERR2239578_contigs.region005
c00915_NODE_91...region001,ERR2239265_contigs.region021
c01699_NODE_16...region001,ERR3946789_contigs.region014
c03974_NODE_39...region001,ERR3941133_contigs.region004
c05193_NODE_51...region001,ERR3941133_contigs.region005
c00251_NODE_25...region001,ERR3941150_contigs.region001
c03405_NODE_34...region001,ERR2239593_contigs.region011
c06274_NODE_62...region001,ERR3941134_contigs.region005
c06313_NODE_63...region001,ERR3941134_contigs.region006
c07160_NODE_71...region001,ERR3941134_contigs.region007
c00302_NODE_30...region001,ERR2239522_contigs.region017
c00821_NODE_82...region001,ERR2239573_contigs.region006
c00863_NODE_86...region001,ERR3941135_contigs.region003
c01000_NODE_10...region001,ERR2239641_contigs.region010
c01411_NODE_14...region001,ERR3941135_contigs.region005
c03476_NODE_34...region001,ERR3941135_contigs.region006
c00108_NODE_10...region001,ERR2239446_contigs.region001
c00739_NODE_73...region001,ERR2239500_contigs.region003
c03393_NODE_33...region001,ERR3941136_contigs.region004
c05414_NODE_54...region001,ERR3941136_contigs.region005
c02628_NODE_26...region001,ERR3941137_contigs.region003
c00161_NODE_16...region001,ERR2239255_contigs.region005
c00436_NODE_43...region001,ERR2239493_contigs.region011
c00774_NODE_77...region001,ERR3946859_contigs.region005
c01377_NODE_13...region001,ERR3946776_contigs.region002
c02335_NODE_23...region001,ERR3941138_contigs.region005
c03563_NODE_35...region001,ERR3941138_contigs.region006
c06376_NODE_63...region001,ERR3941263_contigs.region010
c07499_NODE_74...region001,ERR3941138_contigs.region008
c01155_NODE_11...region001,ERR3941368_contigs.region007
