Accession_id	Assembly_id	GenBank_id	Refseq_id
SAMN04481375	642461	GCA_001562525.1	GCF_001562525.1
SAMN08365448	1534191	GCA_002899455.1	GCF_002899455.1
SAMN09390512	1763931	GCA_003248315.1	
SAMN04426989	727711	GCA_001625105.1	GCF_001625105.1
SAMN05504068	1164611	GCA_002240395.1	
SAMN02570147	571421	GCA_000710405.2	GCF_000710405.2
SAMN13901100	6453611	GCA_011751035.1	GCF_011751035.1
SAMN14411172	6465991	GCA_011765725.1	GCF_011765725.1
SAMN12797902	5850361	GCA_010672945.1	
SAMN12797935	5850311	GCA_010672835.1	
SAMN12797910	5850271	GCA_010672755.1	
SAMN12797976	5850261	GCA_010672745.1	
SAMN12797979	5850291	GCA_010672795.1	
SAMN12797922	5850241	GCA_010672695.1	
SAMN12797932	5850161	GCA_010672535.1	
SAMN12797929	5850141	GCA_010672505.1	
SAMN12797930	5851281	GCA_010692635.1	
SAMN12797936	5850131	GCA_010672485.1	
SAMN12797939	5850121	GCA_010672455.1	
SAMN12797937	5850091	GCA_010672405.1	
SAMN12797974	5851291	GCA_010692645.1	
SAMN12797938	5850101	GCA_010672385.1	
SAMN12797943	5851301	GCA_010692685.1	
SAMN12797944	5850081	GCA_010672365.1	
SAMN12797945	5850071	GCA_010672305.1	
SAMN12797946	5850061	GCA_010672345.1	
SAMN12797947	5851251	GCA_010692575.1	
SAMN12797951	5851261	GCA_010692585.1	
SAMN12797918	5849991	GCA_010672205.1	
SAMN12797954	5851221	GCA_010692525.1	
SAMN12797955	5851231	GCA_010692535.1	
SAMN12797970	5851241	GCA_010692555.1	
SAMN12797981	5851201	GCA_010692465.1	
SAMN12797933	5850021	GCA_010672215.1	
SAMN12797952	5851171	GCA_010692425.1	
SAMN12797960	5850011	GCA_010672195.1	
SAMN12797962	5851191	GCA_010692445.1	
SAMN12797913	5849881	GCA_010671975.1	
SAMN12797919	5851121	GCA_010692335.1	
SAMN12797920	5849891	GCA_010671965.1	
SAMN12797914	5851141	GCA_010692345.1	
SAMN12797915	5851111	GCA_010692305.1	
SAMN12797906	5849861	GCA_010671925.1	
SAMN12797916	5849851	GCA_010671905.1	
SAMN08580375	1628471	GCA_002994615.1	GCF_002994615.1
SAMN08580376	1628481	GCA_002994635.1	GCF_002994635.1
SAMN02719576	480441	GCA_000737335.3	GCF_000737335.2
SAMN02436152	210198	GCA_000170895.1	GCF_000170895.1
